id,adhyaya,pada,sutra_number,sutra_text,adhikarana
89,1,3,26,ॐ तदुपर्यपि बादरायणः सम्भवात् ॐ,देवताधिकरणम्
90,1,3,27,ॐ विरोधः कर्मणेति चेन्नानेकप्रतिपत्तेर्दर्शनात् ॐ,देवताधिकरणम्
91,1,3,28,ॐ शब्द इति चेन्नातः प्रभवात् प्रत्यक्षानुमानाभ्याम् ॐ,देवताधिकरणम्
92,1,3,29,ॐ अत एव च नित्यत्वम् ॐ,देवताधिकरणम्
93,1,3,30,ॐ समाननामरूपत्वाच्चावृत्तावप्यविरोधो दर्शनात् स्मृतेश्च ॐ,देवताधिकरणम्
94,1,3,31,ॐ मध्वादिष्वसम्भवादनधिकारं जैमिनिः ॐ,देवताधिकरणम्
95,1,3,32,ॐ ज्योतिषि भावाच्च ॐ,देवताधिकरणम्
96,1,3,33,ॐ भावं तु बादरायणोऽस्ति हि ॐ,देवताधिकरणम्
97,1,3,34,ॐ शुगस्य तदनादरश्रवणात् तदाऽऽद्रवणात् सूच्यते हि ॐ,अपशूद्राधिकरणम्
98,1,3,35,ॐ क्षत्रियत्वावगतेश्चोत्तरत्र चैत्ररथेन लिङ्गात् ॐ,अपशूद्राधिकरणम्
99,1,3,36,ॐ संस्कारपरामर्शात् तदभावाभिलापाच्च ॐ,अपशूद्राधिकरणम्
100,1,3,37,ॐ तदभावनिर्धारणे च प्रवृत्तेः ॐ,अपशूद्राधिकरणम्
101,1,3,38,ॐ श्रवणाध्ययनार्थप्रतिषेधात् स्मृतेश्च ॐ,अपशूद्राधिकरणम्
102,1,3,39,ॐ कम्पनात् ॐ,कम्पनाधिकरणम्
103,1,3,40,ॐ ज्योतिर्दर्शनात् ॐ,ज्योतिरधिकरणम्
104,1,3,41,ॐ आकाशोऽर्थान्तरत्वादिव्यपदेशात् ॐ,आकाशाधिकरणम्
105,1,3,42,ॐ सुषुप्त्युत्क्रान्त्योर्भेदेन ॐ,सुषुप्त्यधिकरणम्
106,1,3,43,ॐ पत्यादिशब्देभ्यः ॐ,ब्राह्मणाधिकरणम्
107,1,4,1,ॐ आनुमानिकमप्येकेषामिति चेन्न शरीररूपकविन्यस्तगृहीतेर्दशर्यति च ॐ,अनुमानिकाधिकरणम्
108,1,4,2,ॐ सूक्ष्मं तु तदर्हत्वात् ॐ,अनुमानिकाधिकरणम्
109,1,4,3,ॐ तदधीनत्वादर्थवत् ॐ,अनुमानिकाधिकरणम्
110,1,4,4,ॐ ज्ञेयत्वावचनाच्च ॐ,अनुमानिकाधिकरणम्
111,1,4,5,ॐ वदतीती चेन्न प्राज्ञो हि ॐ,अनुमानिकाधिकरणम्
112,1,4,6,ॐ प्रकरणात् ॐ,अनुमानिकाधिकरणम्
113,1,4,7,ॐ त्रयाणामेव चैवमुपन्यासः प्रश्नश्च ॐ,अनुमानिकाधिकरणम्
114,1,4,8,ॐ महद्वच्च ॐ,अनुमानिकाधिकरणम्
115,1,4,9,ॐ चमसवदविशेषात् ॐ,अनुमानिकाधिकरणम्
116,1,4,10,ॐ ज्योतिरुपक्रमात् तु तथा ह्यधीयत एके ॐ,ज्योतिरुपक्रमाधिकरणम्
117,1,4,11,ॐ कल्पनोपदेशाच्च मध्वादिवदविरोधः ॐ,ज्योतिरुपक्रमाधिकरणम्
118,1,4,12,ॐ न सङ्ख्योपसङ्ग्रहादपि नानाभावादतिरेकाच्च ॐ,नसङ्ख्योपसङ्ग्रहाधिकरणम्
119,1,4,13,ॐ प्राणादयो वाक्यशेषात् ॐ,नसङ्ख्योपसङ्ग्रहाधिकरणम्
120,1,4,14,ॐ ज्योतिषैकेषामसत्यन्ने ॐ,नसङ्ख्योपसङ्ग्रहाधिकरणम्
121,1,4,15,ॐ कारणत्वेन चाकाशादिषु यथाव्यपदिष्टोक्तेः ॐ,आकाशाधिकरणम्
122,1,4,16,ॐ समाकर्षात् ॐ,समाकर्षाधिकरणम्
123,1,4,17,ॐ जगद्वाचित्वात् ॐ,समाकर्षाधिकरणम्
124,1,4,18,ॐ जीवमुख्यप्राणलिङ्गादिति चेत् तद्व्याख्यातम् ॐ,समाकर्षाधिकरणम्
125,1,4,19,ॐ अन्यार्थं तु जैमिनिः प्रश्नव्याख्यानाभ्यामपि चैवमेके ॐ,समाकर्षाधिकरणम्
126,1,4,20,ॐ वाक्यान्वयात् ॐ,समाकर्षाधिकरणम्
127,1,4,21,ॐ प्रतिज्ञासिद्धेर्लिङ्गमाश्मरथ्यः ॐ,समाकर्षाधिकरणम्
128,1,4,22,ॐ उत्क्रमिष्यत एवम्भावादित्यौडुलोमिः ॐ,समाकर्षाधिकरणम्
129,1,4,23,ॐ अवस्थितेरिति काशकृत्स्नः ॐ,समाकर्षाधिकरणम्
130,1,4,24,ॐ प्रकृतिश्च प्रतिज्ञादृष्टान्तानुपरोधात् ॐ,प्रकृत्यधिकरणम्
131,1,4,25,ॐ अभिध्योपदेशाच्च ॐ,प्रकृत्यधिकरणम्
132,1,4,26,ॐ साक्षाच्चोभयाम्नानात् ॐ,प्रकृत्यधिकरणम्
133,1,4,27,ॐ आत्मकृतेः परिणामात् ॐ,प्रकृत्यधिकरणम्
134,1,4,28,ॐ योनिश्च हि गीयते ॐ,प्रकृत्यधिकरणम्
135,1,4,29,ॐ एतेन सर्वे व्याख्याता व्याख्याताः ॐ,सर्वेव्याख्याताधिकरणम्
