Phase,Phase_Description,Module_Code,Module_Friendly_Name,Module_File,Method,Endpoint_Path,Endpoint_Name_Friendly,Handler_Function
Phase F7,Phase F - Features (May 17-18),Family Karma,Family Karma & Lineage,family_karma.py,POST,/astro/karma/family_patterns,Family Patterns,karma_family_patterns
Phase F7,Phase F - Features (May 17-18),Family Karma,Family Karma & Lineage,family_karma.py,POST,/astro/karma/karaka_inheritance,Karaka Inheritance,karma_karaka_inheritance
Phase F7,Phase F - Features (May 17-18),Family Karma,Family Karma & Lineage,family_karma.py,POST,/astro/karma/lineage_yogas,Lineage Yogas,karma_lineage_yogas
Phase F9,Phase F - Features (May 17-18),Birthday Quick,Birthday/Solar Return Quick Read,birthday_quick.py,POST,/astro/birthday/headline,Headline,birthday_headline
Phase F9,Phase F - Features (May 17-18),Birthday Quick,Birthday/Solar Return Quick Read,birthday_quick.py,POST,/astro/birthday/quick,Quick,birthday_quick
Phase F10,Phase F10 - Rectification (May 18),Rectification,Birth Time Rectification,rectification.py + p2 + p3,POST,/astro/rectification/event_based,Event Based,f10p2_event_based_rectification
Phase F10,Phase F10 - Rectification (May 18),Rectification,Birth Time Rectification,rectification.py + p2 + p3,POST,/astro/rectification/kp_based,Kp Based,f10p1_kp_rectification
Phase F10,Phase F10 - Rectification (May 18),Rectification,Birth Time Rectification,rectification.py + p2 + p3,POST,/astro/rectification/master,Master,f10p3_master_rectification
Phase F10,Phase F10 - Rectification (May 18),Rectification,Birth Time Rectification,rectification.py + p2 + p3,POST,/astro/rectification/nadi_amshas,Nadi Amshas,f10p3_nadi_amsha_rectification
Phase F10,Phase F10 - Rectification (May 18),Rectification,Birth Time Rectification,rectification.py + p2 + p3,GET,/astro/rectification/nadi_amshas/info,Info,f10p3_nadi_amshas_info
Phase F10,Phase F10 - Rectification (May 18),Rectification,Birth Time Rectification,rectification.py + p2 + p3,GET,/astro/rectification/supported_events,Supported Events,f10p1_supported_events
Phase F10,Phase F10 - Rectification (May 18),Rectification,Birth Time Rectification,rectification.py + p2 + p3,GET,/astro/rectification/supported_tattvas,Supported Tattvas,f10p2_supported_tattvas
Phase F10,Phase F10 - Rectification (May 18),Rectification,Birth Time Rectification,rectification.py + p2 + p3,POST,/astro/rectification/tattva,Tattva,f10p2_tattva_rectification
